Employee_ID,Employee_Name,Department,City,Salary,Experience_Years,Performance_Rating,Status,HR Email id
1,User1,Finance,Sharjah,12286,8,Low,Resigned,anitha.nadar@capgemini.com
2,User2,Finance,Abu Dhabi,7595,2,High,Active,anitha.nadar@capgemini.com
3,User3,Finance,Abu Dhabi,6620,4,Medium,On Leave,anitha.nadar@capgemini.com
4,User4,Operations,Sharjah,5195,5,Medium,On Leave,anitha.nadar@capgemini.com
5,User5,IT,Abu Dhabi,8468,1,Medium,Active,anitha.nadar@capgemini.com
6,User6,Finance,Abu Dhabi,13088,1,Low,Active,anitha.nadar@capgemini.com
7,User7,Operations,Dubai,13489,9,Medium,Active,anitha.nadar@capgemini.com
8,User8,Operations,Dubai,9743,7,Low,Active,anitha.nadar@capgemini.com
9,User9,HR,Abu Dhabi,10975,3,Low,Active,anitha.nadar@capgemini.com
10,User10,IT,Dubai,10449,1,Low,Resigned,anitha.nadar@capgemini.com
11,User11,Sales,Abu Dhabi,11361,8,High,On Leave,anitha.nadar@capgemini.com
12,User12,Operations,Abu Dhabi,7389,10,Low,Resigned,anitha.nadar@capgemini.com
13,User13,Sales,Abu Dhabi,15072,8,Low,On Leave,anitha.nadar@capgemini.com
14,User14,Sales,Sharjah,5791,7,High,On Leave,anitha.nadar@capgemini.com
15,User15,Operations,Abu Dhabi,8244,1,Medium,On Leave,anitha.nadar@capgemini.com
16,User16,HR,Sharjah,15126,5,Medium,Active,anitha.nadar@capgemini.com
17,User17,IT,Abu Dhabi,18499,3,Medium,Resigned,anitha.nadar@capgemini.com
18,User18,IT,Sharjah,18691,8,Low,Resigned,anitha.nadar@capgemini.com
19,User19,IT,Sharjah,8574,9,Low,On Leave,anitha.nadar@capgemini.com
20,User20,IT,Dubai,11847,3,High,Resigned,anitha.nadar@capgemini.com
21,User21,IT,Sharjah,15543,7,Low,Resigned,anitha.nadar@capgemini.com
22,User22,HR,Abu Dhabi,6140,8,Low,On Leave,anitha.nadar@capgemini.com
23,User23,IT,Sharjah,14748,10,High,Resigned,anitha.nadar@capgemini.com
24,User24,Sales,Sharjah,17316,3,High,Resigned,anitha.nadar@capgemini.com
25,User25,Operations,Sharjah,19247,5,Medium,On Leave,anitha.nadar@capgemini.com
26,User26,Operations,Abu Dhabi,8230,5,Low,On Leave,anitha.nadar@capgemini.com
27,User27,HR,Abu Dhabi,5660,7,Low,On Leave,anitha.nadar@capgemini.com
28,User28,IT,Abu Dhabi,16610,6,Medium,Active,anitha.nadar@capgemini.com
29,User29,Operations,Sharjah,7763,7,Medium,Active,anitha.nadar@capgemini.com
30,User30,HR,Sharjah,6808,2,High,Active,anitha.nadar@capgemini.com
31,User31,IT,Dubai,10662,1,High,Resigned,anitha.nadar@capgemini.com
32,User32,IT,Sharjah,18176,8,High,Resigned,anitha.nadar@capgemini.com
33,User33,Sales,Abu Dhabi,5459,2,High,On Leave,anitha.nadar@capgemini.com
34,User34,Sales,Dubai,12010,10,Low,Resigned,anitha.nadar@capgemini.com
35,User35,HR,Sharjah,14506,6,High,Active,anitha.nadar@capgemini.com
36,User36,Finance,Abu Dhabi,11514,8,High,Resigned,anitha.nadar@capgemini.com
37,User37,Finance,Abu Dhabi,7846,9,High,Active,anitha.nadar@capgemini.com
38,User38,Sales,Abu Dhabi,19990,8,Low,On Leave,anitha.nadar@capgemini.com
39,User39,Sales,Sharjah,10603,4,Low,Active,anitha.nadar@capgemini.com
40,User40,Sales,Abu Dhabi,9850,3,High,On Leave,anitha.nadar@capgemini.com
41,User41,Operations,Abu Dhabi,19913,5,Low,Resigned,anitha.nadar@capgemini.com
42,User42,Sales,Dubai,15989,4,Low,On Leave,anitha.nadar@capgemini.com
43,User43,Finance,Abu Dhabi,10460,7,High,Active,anitha.nadar@capgemini.com
44,User44,IT,Sharjah,19162,4,Medium,Resigned,anitha.nadar@capgemini.com
45,User45,IT,Abu Dhabi,5441,10,Medium,Resigned,anitha.nadar@capgemini.com
46,User46,HR,Dubai,6592,1,Low,On Leave,anitha.nadar@capgemini.com
